"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
1614,6,22937,8.98079,,,9998.5,29128.7
621,6,22489,12.4129,,,10471.9,42106.3
14315,6,29623,27.2593,,,,18000.6
3361,6,245,64.6792,53.1264,,118638,97831.4
3434,6,8468,74.136,53.4323,,16933.5,53447
3713,6,7942,27.4401,,,39927.9,39040.8
2041,6,17726,34.2373,,,12127.1,18877.9
2057,6,2463,35.0539,,,13225.2,25603.2
925,6,16659,40.7891,37.6008,39.3385,101318,211497
4668,6,11570,40.8088,,,80700.5,129916
2038,6,16481,38.9621,,,21125,36529.2
359,6,9547,23.9245,,,12096.5,28016.2
4027,6,20975,32.2392,,,19215.4,25899.8
4877,6,15209,38.6592,18.8593,,4412.11,18045.8
1951,6,19606,29.9387,,,21587.4,24401.8
364,6,11323,11.7895,,,2261.03,42904.7
1893,6,13652,62.0985,,,20666,30462.8
4734,6,30862,18.844,,,9032.06,55233.3
2556,6,1005,23.1544,,,,45268.3
5199,6,14679,32.1493,,,22679.4,36960.6
856,6,14498,65.7062,,71.585,102805,137867
